word,count,freq
a,11379,0.0193448358519531
honest,8,1.3600376730435434e-05
hobbit,381,0.0006477179417869875
portent,1,1.7000470913044292e-06
great,1373,0.0023341646563609813
significance,4,6.800188365217717e-06
does,185,0.0003145087118913194
not,4605,0.007828716855456896
however,68,0.00011560320220870118
concern,13,2.210061218695758e-05
present,93,0.0001581043794913119
those,384,0.0006528180830609008
who,677,0.0011509318808130985
edition,5,8.500235456522145e-06
make,349,0.0005933164348652458
their,2347,0.003990010523291495
acquaintance,2,3.4000941826088584e-06
lore,56,9.520263711304803e-05
need,298,0.0005066140332087199
troupe,1,1.7000470913044292e-06
about,1065,0.001810550152239217
its,728,0.0012376342824696243
explanation,10,1.700047091304429e-05
l,145,0.0002465068282391422
ies,3,5.100141273913288e-06
history,49,8.330230747391702e-05
ring,574,0.0009758270304087423
out,1928,0.0032776907920349396
chronicles,1,1.7000470913044292e-06
westmarch,7,1.1900329639131004e-05
told,207,0.00035190974790001684
lord,424,0.0007208199667130779
rings,83,0.00014110390857826762
final,21,3.570098891739301e-05
may,757,0.0012869356481174528
be,2653,0.004510224933230651
added,41,6.97019307434816e-05
point,104,0.00017680489749566063
raised,61,0.00010370287256957018
students,1,1.7000470913044292e-06
period,2,3.4000941826088584e-06
writt,2,3.4000941826088584e-06
en,48,8.16022603826126e-05
here,939,0.001596344218734859
old,855,0.001453540263065287
thrain,20,3.400094182608858e-05
king,494,0.000839823263104388
mountain,320,0.0005440150692174173
yet,846,0.001438239839243547
son,200,0.00034000941826088584
last,952,0.0016184448309218165
before,1219,0.002072357404300099
coming,310,0.0005270145983043731
dragon,130,0.00022100612186957578
error,2,3.4000941826088584e-06
names,82,0.0001394038614869632
are,1956,0.0033252921105914636
often,164,0.0002788077229739264
repeated,20,3.400094182608858e-05
dynasties,1,1.7000470913044292e-06
genealogies,2,3.4000941826088584e-06
show,68,0.00011560320220870118
that,7192,0.012226738680661455
distant,68,0.00011560320220870118
ancestor,3,5.100141273913288e-06
referred,3,5.100141273913288e-06
i,7551,0.012837055586439744
fugitive,1,1.7000470913044292e-06
moria,101,0.00017170475622174734
discovered,39,6.630183656087274e-05
lonely,50,8.500235456522146e-05
erebor,3,5.100141273913288e-06
ruled,7,1.1900329639131004e-05
while,679,0.0011543319749957074
people,269,0.0004573126675608914
moved,85,0.00014450400276087649
remoter,2,3.4000941826088584e-06
mountains,385,0.0006545181301522052
north,341,0.0005797160581348103
an,988,0.001679646526208776
unexpected,19,3.230089473478415e-05
